Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,122,0,Some Random Commen with Id 0
1,0,1,197,7,Some Random Commen with Id 1
2,0,1,192,7,Some Random Commen with Id 2
3,0,1,189,3,Some Random Commen with Id 3
4,1,8,40,6,Some Random Commen with Id 4
5,1,8,99,8,Some Random Commen with Id 5
6,1,8,121,8,Some Random Commen with Id 6
7,1,8,185,7,Some Random Commen with Id 7
8,1,8,179,1,Some Random Commen with Id 8
9,1,8,75,8,Some Random Commen with Id 9
10,1,8,168,4,Some Random Commen with Id 10
11,2,8,108,2,Some Random Commen with Id 11
12,2,8,100,4,Some Random Commen with Id 12
13,2,8,180,9,Some Random Commen with Id 13
14,2,8,36,1,Some Random Commen with Id 14
15,2,8,72,3,Some Random Commen with Id 15
16,2,8,113,5,Some Random Commen with Id 16
17,2,8,88,5,Some Random Commen with Id 17
18,2,8,188,8,Some Random Commen with Id 18
19,3,8,164,0,Some Random Commen with Id 19
20,4,1,172,2,Some Random Commen with Id 20
21,4,1,177,7,Some Random Commen with Id 21
22,4,1,163,5,Some Random Commen with Id 22
23,4,1,23,0,Some Random Commen with Id 23
24,5,2,174,2,Some Random Commen with Id 24
25,5,2,100,0,Some Random Commen with Id 25
26,5,2,148,5,Some Random Commen with Id 26
27,5,2,56,4,Some Random Commen with Id 27
28,5,2,83,5,Some Random Commen with Id 28
29,6,9,3,9,Some Random Commen with Id 29
30,6,9,0,0,Some Random Commen with Id 30
31,6,9,116,2,Some Random Commen with Id 31
32,6,9,44,4,Some Random Commen with Id 32
33,6,9,2,4,Some Random Commen with Id 33
34,6,9,123,8,Some Random Commen with Id 34
35,6,9,1,1,Some Random Commen with Id 35
36,6,9,36,9,Some Random Commen with Id 36
37,7,0,98,4,Some Random Commen with Id 37
38,8,6,45,3,Some Random Commen with Id 38
39,8,6,111,3,Some Random Commen with Id 39
40,8,6,19,5,Some Random Commen with Id 40
41,8,6,57,9,Some Random Commen with Id 41
42,8,6,196,4,Some Random Commen with Id 42
43,8,6,66,3,Some Random Commen with Id 43
44,8,6,107,3,Some Random Commen with Id 44
45,8,6,155,9,Some Random Commen with Id 45
46,8,6,8,6,Some Random Commen with Id 46
47,9,5,74,9,Some Random Commen with Id 47
48,9,5,175,3,Some Random Commen with Id 48
49,9,5,50,0,Some Random Commen with Id 49
50,9,5,142,0,Some Random Commen with Id 50
51,9,5,171,9,Some Random Commen with Id 51
52,9,5,92,5,Some Random Commen with Id 52
53,9,5,5,3,Some Random Commen with Id 53
54,10,6,48,2,Some Random Commen with Id 54
55,10,6,199,7,Some Random Commen with Id 55
56,10,6,22,1,Some Random Commen with Id 56
57,10,6,137,4,Some Random Commen with Id 57
58,10,6,113,9,Some Random Commen with Id 58
59,10,6,178,1,Some Random Commen with Id 59
60,10,6,180,1,Some Random Commen with Id 60
61,10,6,38,5,Some Random Commen with Id 61
62,10,6,62,1,Some Random Commen with Id 62
63,11,4,176,3,Some Random Commen with Id 63
64,12,7,192,1,Some Random Commen with Id 64
65,12,7,17,2,Some Random Commen with Id 65
66,12,7,30,3,Some Random Commen with Id 66
67,12,7,85,3,Some Random Commen with Id 67
68,13,0,104,6,Some Random Commen with Id 68
69,14,4,53,4,Some Random Commen with Id 69
70,14,4,23,8,Some Random Commen with Id 70
71,15,6,84,5,Some Random Commen with Id 71
72,15,6,138,5,Some Random Commen with Id 72
73,15,6,58,1,Some Random Commen with Id 73
74,15,6,186,8,Some Random Commen with Id 74
75,15,6,20,0,Some Random Commen with Id 75
76,15,6,198,7,Some Random Commen with Id 76
77,15,6,175,3,Some Random Commen with Id 77
78,15,6,53,9,Some Random Commen with Id 78
79,16,3,177,4,Some Random Commen with Id 79
80,16,3,145,6,Some Random Commen with Id 80
81,16,3,129,2,Some Random Commen with Id 81
82,16,3,29,0,Some Random Commen with Id 82
83,16,3,144,4,Some Random Commen with Id 83
84,16,3,0,7,Some Random Commen with Id 84
